Player,Age,Position,Team,Matches,Minutes,Goals,Assists,xG,xAG,Shots,Shots_on_Target
Kingsley Coman,28,FW,Bayern Munich,28,1282,5,4,4.3,3.3,44,17
Eray Cömert,26,"DF,MF",Valladolid,25,1779,0,0,0.9,0,9,1
Santi Comesaña,27,MF,Villarreal,35,2560,4,2,4.6,2,39,8
Pietro Comuzzo,19,DF,Fiorentina,32,2110,1,0,0.5,0.6,5,2
Francisco Conceição,21,"FW,MF",Juventus,26,1340,3,3,2.3,4.3,40,13
Diego Conde,25,GK,Villarreal,22,1962,0,1,0,0.2,0,0
Tomás Conechny,26,"FW,MF",Alavés,22,847,1,0,2.4,0.3,22,10
Alois Confais,27,MF,Le Havre,1,3,0,0,0,0,0,0
Sirlord Conteh,28,"FW,MF",Heidenheim,29,892,1,1,2.1,2.6,13,5
Lewis Cook,27,"MF,DF",Bournemouth,36,2978,1,3,0.9,4.1,14,4
Copete,24,DF,Mallorca,25,1528,0,0,0.5,0,6,2
Diego Coppola,20,DF,Hellas Verona,34,2927,2,0,0.7,0.1,10,4
Francis Coquelin,33,MF,Nantes,6,224,1,1,1,1.1,7,1
Iker Córdoba,18,DF,Valencia,2,15,0,0,0,0.1,0,0
Derek Cornelius,26,DF,Marseille,21,1420,0,0,0.9,0.1,9,1
Maxwel Cornet,27,FW,Southampton,2,72,0,0,0.2,0,1,0
Maxwel Cornet,27,"FW,MF",Genoa,7,246,2,1,1,0.6,5,3
Pierre Cornud,27,DF,Saint-Étienne,11,576,0,0,0,0.3,0,0
Ángel Correa,29,"FW,MF",Atlético Madrid,31,805,4,1,4.5,2.1,34,14
Joaquín Correa,29,"FW,MF",Inter,19,731,2,2,2.1,2,14,6
Thierry Correia,25,DF,Valencia,11,768,0,0,0.3,0.3,7,3
Alberto costa,20,DF,Juventus,9,357,0,1,0.6,0.2,7,0
Coba da Costa,22,"MF,FW",Getafe,19,1006,1,1,1.1,1.4,23,8
Danny da Costa,31,DF,Mainz 05,25,2006,0,1,0.1,0.6,5,1
David Costa,23,"MF,FW",Lens,11,352,0,0,1.2,0.4,9,2
Logan Costa,23,DF,Villarreal,32,2587,2,1,0.7,0.6,12,5
Logan Costa,23,DF,Toulouse,1,90,0,0,0,0.5,0,0
Samu Costa,23,MF,Mallorca,32,2649,0,2,1.8,1.2,30,8
Grégoire Coudert,25,GK,Brest,2,180,0,0,0,0,0,0
Vladimír Coufal,31,DF,West Ham,22,1067,0,0,0.3,0.7,7,2
Lassana Coulibaly,28,MF,Lecce,38,2667,1,0,0.8,0.9,9,3
Lasso Coulibaly,21,"FW,MF",Auxerre,3,45,1,0,0.3,0.1,3,2
Mamadou Coulibaly,20,MF,Monaco,1,8,0,0,0.1,0,1,0
Soumaïla Coulibaly,20,DF,Brest,7,438,0,0,0.2,0.1,4,0
Tanguy Coulibaly,23,"FW,MF",Montpellier,25,1485,3,0,3.5,1.3,30,13
Woyo Coulibaly,25,DF,Leicester City,4,109,0,0,0,0,2,1
